,number,,date,,
tmp2,31354,308,2013-10-24,,
tmp2,34929,309,2013-10-25,,
tmp2,39310,310,2013-10-26,,
tmp2,35207,311,2013-10-27,,
tmp2,30949,312,2013-10-28,,
tmp2,26194,313,2013-10-29,,
tmp2,26705,314,2013-10-30,,
tmp2,33391,315,2013-10-31,,
tmp2,NA,316,NA,,
tmp2,34261,317,2013-11-01,,
tmp2,34839,318,2013-11-02,,
tmp2,29684,319,2013-11-03,,
tmp2,30830,320,2013-11-04,,
tmp2,25814,321,2013-11-05,,
tmp2,NA,322,NA,,
tmp2,NA,323,NA,,
tmp2,28670,324,2013-11-06,,
tmp2,32895,325,2013-11-07,,
tmp2,38076,326,2013-11-08,,
tmp2,34204,327,2013-11-09,,
tmp2,29958,328,2013-11-10,,
tmp2,28689,329,2013-11-11,,
tmp2,26744,330,2013-11-12,,
tmp2,NA,331,NA,,
tmp2,27857,332,2013-11-13,,
tmp2,31804,333,2013-11-14,,
tmp2,29395,334,2013-11-15,,
tmp2,27145,335,2013-11-16,,
tmp2,26026,336,2013-11-17,,
tmp2,23705,337,2013-11-18,,
tmp2,22101,338,2013-11-19,,
tmp2,26063,339,2013-11-20,,
tmp2,27820,340,2013-11-21,,
tmp2,25810,341,2013-11-22,,
tmp2,24068,342,2013-11-23,,
tmp2,21261,343,2013-11-24,,
tmp2,21954,344,2013-11-25,,
tmp2,18630,345,2013-11-26,,
tmp2,20436,346,2013-11-27,,
tmp2,30494,347,2013-11-28,,
tmp2,35311,348,2013-11-29,,
tmp2,32168,349,2013-11-30,,
tmp2,23781,350,2013-12-01,,
tmp2,23433,351,2013-12-02,,
tmp2,20659,352,2013-12-03,,
tmp2,18585,353,2013-12-04,,
tmp2,27272,354,2013-12-05,,
tmp2,30066,355,2013-12-06,,
tmp2,28114,356,2013-12-07,,
tmp2,24003,357,2013-12-08,,
tmp2,22489,358,2013-12-09,,
tmp2,20744,359,2013-12-10,,
tmp2,20443,360,2013-12-11,,
tmp2,23310,361,2013-12-12,,
tmp2,27380,362,2013-12-13,,
tmp2,25998,363,2013-12-14,,
tmp2,24287,364,2013-12-15,,
tmp2,21910,365,2013-12-16,,
tmp2,21115,366,2013-12-17,,
tmp2,20326,367,2013-12-18,,
tmp2,23168,368,2013-12-19,,
tmp2,25219,369,2013-12-20,,
tmp2,27339,370,2013-12-21,,
tmp2,25830,371,2013-12-22,,
tmp2,399,372,2013-12-23,,
tmp2,22273,373,2013-12-24,,
tmp2,23636,374,2013-12-25,,
tmp2,28258,375,2013-12-26,,
tmp2,28120,376,2013-12-27,,
tmp2,30044,377,2013-12-28,,
tmp2,30904,378,2013-12-29,,
tmp2,24925,379,2013-12-30,,
tmp2,28216,380,2013-12-31,,
tmp2,26178,381,2014-01-01,,
tmp2,31189,382,2014-01-02,,
tmp2,24762,383,2014-01-03,,
tmp2,26267,384,2014-01-04,,
tmp2,24048,385,2014-01-05,,
tmp2,27404,386,2014-01-06,,
tmp2,22578,387,2014-01-07,,
tmp2,19912,388,2014-01-08,,
tmp2,24908,389,2014-01-09,,
tmp2,28526,390,2014-01-10,,
tmp2,29326,391,2014-01-11,,
tmp2,25357,392,2014-01-12,,
tmp2,26390,393,2014-01-13,,
tmp2,22542,394,2014-01-14,,
tmp2,23127,395,2014-01-15,,
tmp2,26825,396,2014-01-16,,
tmp2,29415,397,2014-01-17,,
tmp2,30300,398,2014-01-18,,
tmp2,25197,399,2014-01-19,,
tmp2,26529,400,2014-01-20,,
tmp2,21289,401,2014-01-21,,
tmp2,21633,402,2014-01-22,,
tmp2,NA,403,NA,,
tmp2,25319,404,2014-01-23,,
tmp2,23159,405,2014-01-24,,
tmp2,24281,406,2014-01-25,,
tmp2,19849,407,2014-01-26,,
tmp2,20852,408,2014-01-27,,
tmp2,23453,409,2014-01-28,,
tmp2,32346,410,2014-01-29,,
tmp2,36820,411,2014-01-30,,
tmp2,26765,412,2014-01-31,,
tmp2,24737,413,2014-02-01,,
tmp2,27572,414,2014-02-02,,
tmp2,25273,415,2014-02-03,,
tmp2,23924,416,2014-02-04,,
tmp2,24699,417,2014-02-05,,
tmp2,27940,418,2014-02-06,,
tmp2,NA,419,NA,,
tmp2,26949,420,2014-02-07,,
tmp2,27662,421,2014-02-08,,
tmp2,25264,422,2014-02-09,,
tmp2,27989,423,2014-02-10,,
tmp2,21894,424,2014-02-11,,
tmp2,24047,425,2014-02-12,,
tmp2,26874,426,2014-02-13,,
tmp2,29817,427,2014-02-14,,
tmp2,32488,428,2014-02-15,,
tmp2,30603,429,2014-02-16,,
tmp2,28663,430,2014-02-17,,
tmp2,25926,431,2014-02-18,,
tmp2,28090,432,2014-02-19,,
tmp2,33835,433,2014-02-20,,
tmp2,34586,434,2014-02-21,,
tmp2,32671,435,2014-02-22,,
tmp2,32532,436,2014-02-23,,
tmp2,33782,437,2014-02-24,,
tmp2,27077,438,2014-02-25,,
tmp2,28044,439,2014-02-26,,
tmp2,29520,440,2014-02-27,,
tmp2,30511,441,2014-02-28,,
tmp2,26249,442,2014-03-01,,
tmp2,21716,443,2014-03-02,,
tmp2,17100,444,2014-03-03,,
tmp2,18754,445,2014-03-04,,
tmp2,17503,446,2014-03-05,,
tmp2,26027,447,2014-03-06,,
tmp2,28104,448,2014-03-07,,
tmp2,29080,449,2014-03-08,,
tmp2,22703,450,2014-03-09,,
tmp2,23720,451,2014-03-10,,
tmp2,19507,452,2014-03-11,,
tmp2,19992,453,2014-03-12,,
tmp2,27360,454,2014-03-13,,
tmp2,30330,455,2014-03-14,,
tmp2,29575,456,2014-03-15,,
tmp2,25192,457,2014-03-16,,
tmp2,19551,458,2014-03-17,,
tmp2,27535,459,2014-03-18,,
tmp2,26504,460,2014-03-19,,
tmp2,33117,461,2014-03-20,,
tmp2,38870,462,2014-03-21,,
tmp2,33759,463,2014-03-22,,
tmp2,33324,464,2014-03-23,,
tmp2,35910,465,2014-03-24,,
tmp2,30864,466,2014-03-25,,
tmp2,31538,467,2014-03-26,,
tmp2,37825,468,2014-03-27,,
tmp2,39450,469,2014-03-28,,
tmp2,33766,470,2014-03-29,,
tmp2,32091,471,2014-03-30,,
tmp2,37802,472,2014-03-31,,
tmp2,34682,473,2014-04-01,,
tmp2,31708,474,2014-04-02,,
tmp2,31709,475,2014-04-02,,
tmp2,37979,476,2014-04-03,,
tmp2,38186,477,2014-04-04,,
tmp2,39748,478,2014-04-05,,
tmp2,33509,479,2014-04-06,,
tmp2,43599,480,2014-04-07,,
tmp2,42184,481,2014-04-08,,
tmp2,NA,482,NA,,
tmp2,39720,483,2014-04-09,,
tmp2,38945,484,2014-04-10,,
tmp2,NA,485,NA,,
tmp2,44279,486,2014-04-11,,
tmp2,43469,487,2014-04-12,,
tmp2,36163,488,2014-04-13,,
tmp2,38106,489,2014-04-14,,
tmp2,39378,490,2014-04-15,,
tmp2,40832,491,2014-04-16,,
tmp2,41945,492,2014-04-17,,
tmp2,45682,493,2014-04-18,,
tmp2,41435,494,2014-04-19,,
tmp2,35151,495,2014-04-20,,
tmp2,36169,496,2014-04-21,,
tmp2,34391,497,2014-04-22,,
tmp2,27981,498,2014-04-23,,
tmp2,40189,499,2014-04-24,,
tmp2,NA,500,NA,,
tmp2,39385,501,2014-04-25,,
tmp2,36081,502,2014-04-26,,
tmp2,33232,503,2014-04-27,,
tmp2,28668,504,2014-04-28,,
tmp2,25417,505,2014-04-29,,
tmp2,37061,506,2014-04-30,,
tmp2,47324,507,2014-05-01,,
tmp2,43558,508,2014-05-02,,
tmp2,NA,509,NA,,
tmp2,48625,510,2014-05-03,,
tmp2,44141,511,2014-05-04,,
tmp2,27684,512,2014-05-05,,
tmp2,24048,513,2014-05-06,,
tmp2,24605,514,2014-05-07,,
tmp2,25753,515,2014-05-08,,
tmp2,NA,516,NA,,
tmp2,30974,517,2014-05-10,,
tmp2,32510,518,2014-05-09,,
tmp2,17080,519,2014-05-11,,
tmp2,35796,520,2014-05-12,,
tmp2,27979,521,2014-05-13,,
tmp2,30132,522,2014-05-14,,
tmp2,32068,523,2014-05-15,,
tmp2,34392,524,2014-05-16,,
tmp2,34751,525,2014-05-17,,
tmp2,33491,526,2014-05-18,,
tmp2,27378,527,2014-05-19,,
tmp2,28355,528,2014-05-20,,
tmp2,25865,529,2014-05-21,,
tmp2,32965,530,2014-05-22,,
tmp2,37530,531,2014-05-23,,
tmp2,34394,532,2014-05-24,,
tmp2,30113,533,2014-05-25,,
tmp2,33197,534,2014-05-26,,
tmp2,26706,535,2014-05-27,,
tmp2,30527,536,2014-05-28,,
tmp2,33135,537,2014-05-29,,
tmp2,36026,538,2014-05-30,,
tmp2,NA,539,NA,,
tmp2,37285,540,2014-05-31,,
tmp2,35195,541,2014-06-01,,
tmp2,4776,542,2014-06-02,,
tmp2,43169,543,2014-06-03,,
tmp2,44332,544,2014-06-04,,
tmp2,43196,545,2014-06-05,,
tmp2,48557,546,2014-06-06,,
tmp2,28742,547,2014-06-07,,
tmp2,31831,548,2014-06-08,,
tmp2,33202,549,2014-06-09,,
tmp2,32378,550,2014-06-10,,
tmp2,32876,551,2014-06-11,,
tmp2,36440,552,2014-06-12,,
tmp2,35817,553,2014-06-13,,
tmp2,38930,554,2014-06-14,,
tmp2,39631,555,2014-06-15,,
tmp2,37801,556,2014-06-16,,
tmp2,28692,557,2014-06-17,,
tmp2,32355,558,2014-06-18,,
tmp2,38089,559,2014-06-19,,
tmp2,38758,560,2014-06-20,,
tmp2,35436,561,2014-06-21,,
tmp2,35101,562,2014-06-22,,
tmp2,37349,563,2014-06-23,,
tmp2,34352,564,2014-06-24,,
tmp2,39354,565,2014-06-25,,
tmp2,34604,566,2014-06-26,,
tmp2,36956,567,2014-06-27,,
tmp2,37472,568,2014-06-28,,
tmp2,32953,569,2014-06-29,,
tmp2,37574,570,2014-06-30,,
tmp2,31141,571,2014-07-01,,
tmp2,29993,572,2014-07-02,,
tmp2,36779,573,2014-07-03,,
tmp2,36830,574,2014-07-04,,
tmp2,32099,575,2014-07-05,,
tmp2,35647,576,2014-07-06,,
tmp2,33879,577,2014-07-07,,
tmp2,31852,578,2014-07-08,,
tmp2,11173,579,2014-07-09,,
tmp2,40618,580,2014-07-10,,
tmp2,42405,581,2014-07-11,,
tmp2,36631,582,2014-07-12,,
tmp2,43079,583,2014-07-13,,
tmp2,39362,584,2014-07-14,,
tmp2,37240,585,2014-07-15,,
tmp2,41258,586,2014-07-16,,
tmp2,36528,587,2014-07-17,,
tmp2,34849,588,2014-07-18,,
tmp2,39685,589,2014-07-19,,
tmp2,40066,590,2014-07-20,,
tmp2,35686,591,2014-07-21,,
tmp2,31214,592,2014-07-22,,
tmp2,37576,593,2014-07-23,,
tmp2,42481,594,2014-07-24,,
tmp2,NA,595,NA,,
tmp2,41770,596,2014-07-25,,
tmp2,39010,597,2014-07-26,,
tmp2,NA,598,NA,,
tmp2,43375,599,2014-07-27,,
tmp2,44163,600,2014-07-28,,
tmp2,40380,601,2014-07-29,,
tmp2,44702,602,2014-07-30,,
tmp2,44109,603,2014-07-31,,
tmp2,38620,604,2014-08-01,,
tmp2,2451,605,2014-08-02,,
tmp2,49343,606,2014-08-03,,
tmp2,48004,607,2014-08-04,,
tmp2,44880,608,2014-08-05,,
tmp2,41279,609,2014-08-06,,
tmp2,NA,610,NA,,
tmp2,40283,611,2014-08-07,,
tmp2,35306,612,2014-08-08,,
tmp2,32662,613,2014-08-09,,
tmp2,43308,614,2014-08-10,,
tmp2,44723,615,2014-08-11,,
tmp2,39351,616,2014-08-12,,
tmp2,NA,617,NA,,
tmp2,46618,618,2014-08-13,,
tmp2,47278,619,2014-08-14,,
tmp2,52468,620,2014-08-15,,
tmp2,37620,621,2014-08-16,,
tmp2,46646,622,2014-08-17,,
tmp2,45141,623,2014-08-18,,
